date,temperature_2m,precipitation,surface_pressure,wind_gusts_10m,wind_speed_10m
2025-04-05 18:00:00+00:00,13.85,0.0,1016.5501,42.839996,21.24
2025-04-05 19:00:00+00:00,11.95,0.0,1016.9278,39.96,19.8
2025-04-05 20:00:00+00:00,10.45,0.0,1017.5091,37.8,18.72
2025-04-05 21:00:00+00:00,9.25,0.0,1017.9941,39.6,19.44
2025-04-05 22:00:00+00:00,8.35,0.0,1018.48236,35.28,17.28
2025-04-05 23:00:00+00:00,7.8,0.0,1018.6753,33.48,16.56
2025-04-06 00:00:00+00:00,7.35,0.0,1018.7699,29.88,14.759999
2025-04-06 01:00:00+00:00,7.1,0.0,1018.76697,29.88,14.759999
2025-04-06 02:00:00+00:00,6.95,0.0,1018.5657,24.48,11.879999
2025-04-06 03:00:00+00:00,7.0,0.0,1018.5664,30.239998,15.119999
2025-04-06 04:00:00+00:00,6.9,0.0,1018.7648,30.599998,15.119999
2025-04-06 05:00:00+00:00,6.7,0.0,1019.36035,26.28,12.959999
2025-04-06 06:00:00+00:00,6.7,0.0,1019.95844,26.64,12.959999
2025-04-06 07:00:00+00:00,7.5,0.0,1020.16705,32.760002,16.56
2025-04-06 08:00:00+00:00,8.75,0.0,1020.2811,38.16,19.08
2025-04-06 09:00:00+00:00,10.25,0.0,1020.59717,37.8,18.72
2025-04-06 10:00:00+00:00,11.75,0.0,1020.9131,43.199997,21.24
2025-04-06 11:00:00+00:00,12.7,0.0,1020.92377,47.16,23.039999
2025-04-06 12:00:00+00:00,13.35,0.0,1020.6317,48.96,24.48
2025-04-06 13:00:00+00:00,13.8,0.0,1020.83624,47.16,23.039999
2025-04-06 14:00:00+00:00,13.8,0.0,1020.63684,46.079998,21.96
2025-04-06 15:00:00+00:00,13.6,0.0,1020.6345,42.839996,20.880001
2025-04-06 16:00:00+00:00,13.1,0.0,1020.4297,40.68,20.16
2025-04-06 17:00:00+00:00,12.3,0.0,1020.7199,35.64,17.64
2025-04-06 18:00:00+00:00,11.1,0.0,1021.1052,31.68,15.84
2025-04-06 19:00:00+00:00,10.0,0.0,1021.29205,32.399998,16.199999
2025-04-06 20:00:00+00:00,9.05,0.0,1021.77997,32.039997,15.84
2025-04-06 21:00:00+00:00,8.35,0.0,1022.1707,30.599998,15.4800005
2025-04-06 22:00:00+00:00,7.7,0.0,1022.46204,25.56,12.599999
2025-04-06 23:00:00+00:00,7.05,0.0,1022.4546,25.56,12.959999
2025-04-07 00:00:00+00:00,6.7,0.0,1022.4505,24.48,11.879999
2025-04-07 01:00:00+00:00,6.4,0.0,1022.24786,19.44,9.72
2025-04-07 02:00:00+00:00,5.9,0.0,1022.3415,14.4,6.8399997
2025-04-07 03:00:00+00:00,5.65,0.0,1022.33856,19.44,9.36
2025-04-07 04:00:00+00:00,5.4,0.0,1022.4354,19.8,9.72
2025-04-07 05:00:00+00:00,5.15,0.0,1022.63196,18.359999,9.0
2025-04-07 06:00:00+00:00,5.3,0.0,1023.03265,17.28,8.64
2025-04-07 07:00:00+00:00,6.45,0.0,1023.4444,15.84,7.92
2025-04-07 08:00:00+00:00,7.9,0.0,1023.95984,19.08,9.36
2025-04-07 09:00:00+00:00,9.7,0.0,1024.2795,26.64,12.959999
2025-04-07 10:00:00+00:00,11.15,0.0,1024.595,26.64,11.879999
2025-04-07 11:00:00+00:00,12.55,0.0,1024.5109,29.16,12.959999
2025-04-07 12:00:00+00:00,13.5,0.0,1024.3219,26.64,10.799999
2025-04-07 13:00:00+00:00,14.35,0.0,1024.0323,26.64,10.440001
2025-04-07 14:00:00+00:00,15.05,0.0,1023.741,24.84,9.36
2025-04-07 15:00:00+00:00,15.45,0.0,1023.6455,22.319998,7.92
2025-04-07 16:00:00+00:00,14.15,0.0,1023.7311,27.72,10.08
2025-04-07 17:00:00+00:00,13.9,0.0,1023.7283,27.359999,10.440001
2025-04-07 18:00:00+00:00,13.65,0.0,1023.8254,27.0,10.440001
2025-04-07 19:00:00+00:00,12.8,0.0,1023.9153,28.44,11.5199995
2025-04-07 20:00:00+00:00,11.7,0.0,1024.4016,28.44,11.5199995
2025-04-07 21:00:00+00:00,10.65,0.0,1024.7886,27.0,11.159999
2025-04-07 22:00:00+00:00,9.85,0.0,1025.1783,23.759998,9.72
2025-04-07 23:00:00+00:00,9.1,0.0,1025.4686,19.08,8.28
2025-04-08 00:00:00+00:00,8.45,0.0,1025.6606,15.84,6.8399997
2025-04-08 01:00:00+00:00,7.9,0.0,1025.5549,14.759999,6.4799995
2025-04-08 02:00:00+00:00,7.45,0.0,1025.2504,14.4,6.4799995
2025-04-08 03:00:00+00:00,7.0,0.0,1025.0459,14.04,6.4799995
2025-04-08 04:00:00+00:00,6.35,0.0,1025.1381,12.959999,6.12
2025-04-08 05:00:00+00:00,5.7,0.0,1025.4294,11.5199995,5.7599998
2025-04-08 06:00:00+00:00,5.5,0.0,1025.7262,11.159999,5.3999996
2025-04-08 07:00:00+00:00,5.95,0.0,1025.9307,12.24,5.7599998
2025-04-08 08:00:00+00:00,6.85,0.0,1026.1406,14.4,6.12
2025-04-08 09:00:00+00:00,7.9,0.0,1026.3523,16.199999,6.4799995
2025-04-08 10:00:00+00:00,9.2,0.0,1026.4667,17.64,6.4799995
2025-04-08 11:00:00+00:00,10.7,0.0,1026.5836,18.72,6.12
2025-04-08 12:00:00+00:00,12.0,0.0,1026.5984,19.8,6.12
2025-04-08 13:00:00+00:00,13.0,0.0,1026.4099,20.519999,6.12
2025-04-08 14:00:00+00:00,13.85,0.0,1026.1205,20.880001,6.12
2025-04-08 15:00:00+00:00,14.5,0.0,1025.8285,21.96,6.4799995
2025-04-08 16:00:00+00:00,15.0,0.0,1025.5348,24.84,8.28
2025-04-08 17:00:00+00:00,15.3,0.0,1025.3386,28.08,10.440001
